G,T,K,OD1,OD2,OD3
30.0,30.0,1.0,0.3123,0.3169,0.317
30.0,30.0,3.0,0.3117,0.3137,0.3191
30.0,30.0,5.0,0.3226,0.3179,0.3227
30.0,20.0,1.0,0.3434,0.3376,0.3418
30.0,20.0,3.0,0.3326,0.3357,0.3382
30.0,20.0,5.0,0.3447,0.3394,0.3386
50.0,30.0,1.0,0.3385,0.3427,0.3322
50.0,30.0,3.0,0.3392,0.3384,0.3342
50.0,30.0,5.0,0.3412,0.3389,0.3358
50.0,20.0,1.0,0.3946,0.3925,0.3971
50.0,20.0,3.0,0.3983,0.4002,0.3938
50.0,20.0,5.0,0.3976,0.3898,0.3899
70.0,30.0,1.0,0.349,0.3478,0.3491
70.0,30.0,3.0,0.3566,0.3487,0.3423
70.0,30.0,5.0,0.3471,0.3493,0.353
70.0,20.0,1.0,0.379,0.3572,0.368
70.0,20.0,3.0,0.3715,0.3789,0.3701
70.0,20.0,5.0,0.364,0.3665,0.363
30.0,10.0,1.0,0.3018,0.3029,0.3105
30.0,10.0,3.0,0.3025,0.2933,0.2954
30.0,10.0,5.0,0.2972,0.3062,0.2995
70.0,10.0,1.0,0.333,0.3229,0.334
70.0,10.0,3.0,0.3308,0.3354,0.3297
70.0,10.0,5.0,0.3266,0.3307,0.3335
39.0,22.0,1.0,0.4095,0.4088,0.413
39.0,22.0,3.0,0.42,0.407,0.4159
39.0,22.0,5.0,0.4147,0.4123,0.4119
41.0,22.0,1.0,0.4198,0.4095,0.4195
41.0,22.0,3.0,0.4172,0.4194,0.4141
41.0,22.0,5.0,0.421,0.4268,0.4188
43.0,22.0,1.0,0.424,0.4205,0.4286
43.0,22.0,3.0,0.4227,0.4175,0.4202
43.0,22.0,5.0,0.4215,0.4191,0.4225
40.0,23.0,1.0,0.4161,0.4204,0.4212
40.0,23.0,3.0,0.4168,0.4229,0.4316
40.0,23.0,5.0,0.4146,0.4147,0.4201
42.0,23.0,1.0,0.4175,0.4171,0.4278
42.0,23.0,3.0,0.4255,0.4188,0.422
